GX,GY,GZ,AX,AY,AZ,MX,MY,MZ,TS
-86.31897,51.956177,-36.77368,-0.118896484,0.15332031,0.079589844,-0.1907959,-0.31896973,0.09741211,128
-79.208374,42.007446,-34.25598,-0.1159668,0.12475586,0.038330078,-0.1907959,-0.31896973,0.09741211,129
-73.19641,31.097412,-19.363403,-0.1105957,0.099121094,-0.003662109,-0.18969727,-0.3149414,0.10144043,130
-65.17029,17.791748,-6.790161,-0.10644531,0.0703125,-0.030029297,-0.18969727,-0.3149414,0.10144043,131
-54.870605,7.827759,9.994507,-0.1027832,0.045898438,-0.05517578,-0.18969727,-0.3149414,0.10144043,132
-41.107178,3.6468506,18.997192,-0.1027832,0.026367188,-0.072021484,-0.1875,-0.30908203,0.11425781,133
-27.130127,-4.3029785,23.81897,-0.10546875,0.008789063,-0.08544922,-0.1875,-0.30908203,0.11425781,134
-10.040283,-6.1187744,24.459839,-0.10839844,-0.002197266,-0.0925293,-0.27868652,-0.3112793,0.11645508,135
11.856079,-8.544922,19.470215,-0.10864258,-0.007324219,-0.09716797,-0.18493652,-0.3112793,0.11645508,136
35.17151,-13.763428,9.429932,-0.111328125,-0.012451172,-0.099365234,-0.18493652,-0.3112793,0.11645508,137
55.4657,-18.966675,5.2490234,-0.12036133,-0.01586914,-0.092041016,-0.1809082,-0.30322266,0.11462402,138
75.33264,-24.932861,2.380371,-0.13305664,-0.01586914,-0.07885742,-0.1809082,-0.30322266,0.11462402,139
96.572876,-32.913208,-3.8604736,-0.14160156,-0.012695313,-0.06542969,-0.1809082,-0.30285645,0.10546875,140
112.50305,-45.928955,-11.21521,-0.1430664,-0.014892578,-0.053466797,-0.1739502,-0.30285645,0.10546875,141
121.673584,-58.166504,-19.622803,-0.13720703,-0.024902344,-0.033447266,-0.1739502,-0.30285645,0.10546875,142
138.19885,-66.970825,-29.266357,-0.12158203,-0.041992188,-0.05908203,-0.17175293,-0.29919434,0.09814453,143
151.74866,-75.82092,-37.002563,-0.099853516,-0.061279297,0.034423828,-0.17175293,-0.29919434,0.09814453,144
